id_rumah_sakit,root_cause_primary,root_cause_secondary,root_cause_multilabel,root_cause_strength,root_cause_confidence_gap,cause_score_it_capability,cause_score_infrastructure,cause_score_adoption,cause_score_investment_conversion,cause_score_capacity,cause_score_integration
RS0067,Tidak ada bottleneck dominan,Kesenjangan Kapabilitas IT,Kesenjangan Infrastruktur; Kesenjangan Kapabilitas IT,0.7364864864864865,0.060810810810810856,0.6756756756756757,0.7364864864864865,0.04729729729729726,0.0,0.5540540540540541,0.0
RS0068,Kesenjangan Infrastruktur,,Kesenjangan Infrastruktur,0.8495575221238938,0.23893805309734506,0.6106194690265487,0.8495575221238938,0.19469026548672563,0.0,0.4557522123893806,0.5
RS0069,Kesenjangan Integrasi,Tekanan Kapasitas,Kesenjangan Integrasi; Tekanan Kapasitas,1.0,0.32432432432432434,0.2702702702702703,0.4054054054054054,0.5675675675675675,0.472972972972973,0.6756756756756757,1.0
RS0070,Kesenjangan Kapabilitas IT,Kesenjangan Adopsi,Kesenjangan Kapabilitas IT; Kesenjangan Adopsi; Gap Konversi Investasi — indikator relatif; Kesenjangan Infrastruktur,0.9527027027027027,0.03378378378378388,0.9527027027027027,0.8918918918918919,0.9189189189189189,0.9054054054054054,0.6283783783783784,0.0
RS0071,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.3141592920353983,0.2079646017699115,0.10619469026548678,0.06194690265486724,0.03539823008849563,0.0,0.3141592920353983,0.0
RS0072,Tidak ada bottleneck dominan,,Gap Konversi Investasi — indikator relatif,0.7123287671232876,0.12328767123287665,0.410958904109589,0.3972602739726028,0.589041095890411,0.7123287671232876,0.23972602739726026,0.0
RS0073,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.4931506849315068,0.1986301369863014,0.12328767123287676,0.4931506849315068,0.15068493150684936,0.0,0.29452054794520544,0.0
RS0074,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.6017699115044248,0.03539823008849563,0.6017699115044248,0.38053097345132747,0.5663716814159292,0.0,0.5176991150442478,0.5
RS0075,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.5068493150684932,0.273972602739726,0.04109589041095896,0.23287671232876717,0.136986301369863,0.0,0.5068493150684932,0.0
RS0076,Kesenjangan Kapabilitas IT,Kesenjangan Adopsi,Kesenjangan Kapabilitas IT; Kesenjangan Adopsi; Kesenjangan Infrastruktur,0.9292035398230089,0.1415929203539823,0.9292035398230089,0.7433628318584071,0.7876106194690266,0.5663716814159292,0.504424778761062,0.0
RS0077,Kesenjangan Kapabilitas IT,Tekanan Kapasitas,Kesenjangan Kapabilitas IT; Tekanan Kapasitas,0.875,0.21875,0.875,0.5625,0.5625,0.0,0.65625,0.0
RS0078,Tidak ada bottleneck dominan,,Gap Konversi Investasi — indikator relatif,0.6891891891891893,0.04054054054054057,0.6216216216216216,0.2432432432432432,0.6486486486486487,0.6891891891891893,0.5337837837837838,0.0
RS0079,Tidak ada bottleneck dominan,,Kesenjangan Adopsi,0.6902654867256637,0.07079646017699104,0.2831858407079646,0.6194690265486726,0.6902654867256637,0.0,0.4646017699115045,0.0
RS0080,Tidak ada bottleneck dominan,,Tekanan Kapasitas,0.7389380530973452,0.13716814159292035,0.026548672566371723,0.07079646017699115,0.07964601769911506,0.6017699115044248,0.7389380530973452,0.0
RS0081,Kesenjangan Adopsi,Kesenjangan Kapabilitas IT,Kesenjangan Adopsi; Kesenjangan Kapabilitas IT,0.8243243243243243,0.08108108108108114,0.7432432432432432,0.3648648648648649,0.8243243243243243,0.0,0.6148648648648649,0.0
RS0082,Kesenjangan Integrasi,Kesenjangan Adopsi,Kesenjangan Integrasi; Kesenjangan Adopsi; Gap Konversi Investasi — indikator relatif,1.0,0.19469026548672563,0.415929203539823,0.2654867256637168,0.8053097345132744,0.6814159292035398,0.415929203539823,1.0
